id,Geographic Area ame,Estimate_Households_Mean_income
8600000US02675,ZCTA5 02675,99899
8600000US02702,ZCTA5 02702,107360
8600000US02703,ZCTA5 02703,92805
8600000US02713,ZCTA5 02713,161600
8600000US02715,ZCTA5 02715,110325
8600000US02717,ZCTA5 02717,101939
8600000US02718,ZCTA5 02718,105894
8600000US02719,ZCTA5 02719,82903
8600000US02720,ZCTA5 02720,61409
8600000US02721,ZCTA5 02721,49289
8600000US02723,ZCTA5 02723,53489
8600000US02724,ZCTA5 02724,52675
8600000US02725,ZCTA5 02725,78475
8600000US02726,ZCTA5 02726,91634
8600000US02738,ZCTA5 02738,138386
8600000US02739,ZCTA5 02739,135965
8600000US02740,ZCTA5 02740,57905
8600000US02743,ZCTA5 02743,85180
8600000US02744,ZCTA5 02744,52428
8600000US02745,ZCTA5 02745,71265
8600000US02746,ZCTA5 02746,45021
8600000US02747,ZCTA5 02747,100111
8600000US02748,ZCTA5 02748,117525
8600000US02760,ZCTA5 02760,110400
8600000US02762,ZCTA5 02762,109193
8600000US02763,ZCTA5 02763,131786
8600000US02764,ZCTA5 02764,100512
8600000US02766,ZCTA5 02766,120890
8600000US02767,ZCTA5 02767,116077
8600000US02769,ZCTA5 02769,126367
8600000US02770,ZCTA5 02770,123649
8600000US02771,ZCTA5 02771,109476
8600000US02777,ZCTA5 02777,93894
8600000US02779,ZCTA5 02779,112984
8600000US02780,ZCTA5 02780,73310
8600000US02790,ZCTA5 02790,99230
8600000US02791,ZCTA5 02791,87586
8600000US02802,ZCTA5 02802,74004
8600000US02804,ZCTA5 02804,92200
8600000US02806,ZCTA5 02806,163629
8600000US02807,ZCTA5 02807,75560
8600000US02808,ZCTA5 02808,82627
8600000US02809,ZCTA5 02809,88310
8600000US02812,ZCTA5 02812,124596
8600000US02813,ZCTA5 02813,102446
8600000US02814,ZCTA5 02814,95064
8600000US02815,ZCTA5 02815,201649
8600000US02816,ZCTA5 02816,87584
8600000US02817,ZCTA5 02817,117143
8600000US02818,ZCTA5 02818,142929
8600000US02822,ZCTA5 02822,113916
